"disease_pesticide_map_id";"crop_code";"disease_id";"pesticide_code";"min_dosage_per_ha";"max_dosage_per_ha";"min_dilute_water";"max_dilute_water";"waiting_period_days";"crop_stage"
1;6;1;5;"666";"1000";"300";"500";"15";""
2;6;2;5;"666";"1000";"300";"500";"15";""
3;6;3;5;"666";"1000";"300";"500";"15";""
4;6;4;5;"666";"1000";"300";"500";"15";""
5;6;5;6;"50";"100";"500";"600";"7";""
6;6;1;200;"1500";"2500";"500";"1000";"5";""
7;6;5;200;"1500";"2500";"500";"1000";"5";""
8;6;2;200;"1500";"2500";"500";"1000";"5";""
9;6;5;200;"200";"200";"400";"400";"5";""
10;6;2;200;"200";"200";"400";"400";"5";""
11;6;1;200;"200";"200";"400";"400";"5";""
12;6;1;33;"500";"500";"500";"500";"21";""
13;6;2;33;"500";"500";"500";"500";"21";""
14;6;4;33;"500";"500";"500";"500";"21";""
15;6;5;39;"800";"800";"400";"500";"20";""
16;6;4;39;"800";"800";"400";"500";"20";""
17;6;6;39;"800";"800";"400";"500";"20";""
18;6;4;45;"800";"1000";"500";"1000";"14";""
19;6;6;45;"800";"1000";"500";"1000";"14";""
20;6;5;45;"800";"1000";"500";"1000";"14";""
21;6;7;45;"800";"1000";"500";"1000";"14";""
22;6;1;45;"800";"1000";"500";"1000";"14";""
23;6;8;38;"";"";"";"";"";""
24;6;9;38;"";"";"";"";"";""
25;6;10;44;"";"";"";"";"";""
26;6;11;44;"";"";"";"";"";""
27;6;1;45;"800";"1000";"500";"1000";"14";""
28;6;7;45;"800";"1000";"500";"1000";"14";""
29;6;4;45;"800";"1000";"500";"1000";"14";""
30;6;2;45;"800";"1000";"500";"1000";"14";""
31;6;6;45;"800";"1000";"500";"1000";"14";""
32;6;1;51;"1000";"1000";"500";"1000";"";""
33;6;2;51;"1000";"1000";"500";"1000";"";""
34;6;12;32;"";"";"";"";"";""
35;6;1;78;"150";"150";"500";"500";"13";""
36;6;2;78;"150";"150";"500";"500";"13";""
37;6;4;78;"150";"150";"500";"500";"13";""
38;6;13;78;"150";"150";"500";"500";"13";""
39;6;5;81;"470";"470";"500";"1000";"";""
40;6;14;81;"627";"627";"500";"1000";"";""
41;6;15;81;"627";"627";"500";"1000";"";""
42;6;16;81;"627";"627";"500";"1000";"";""
