"pesticide_id";"pesticide_name";"pesticide_code";"price";"quantity";"type";"iupa_number";"mfg_local";"company_name"
1;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Insecticides India Ltd Delhi "
2;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Swati Chlorides Pvt Ltd Vadodara "
3;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Ambey Laboratories Pvt Ltd New Delhi "
4;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Crystal Phosphates Delhi. "
5;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Atul Ltd. Valsad "
6;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Bharat Rasayan Ltd. Delhi "
7;"24-D Ethyl Ester Technical 97% min. ";1;0.0;0.0;"Herbicide";"45";"Y";"Megmani Organics Ltd. Ahmedabad "
8;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Insecticides India Ltd Delhi "
9;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Atul Ltd. Valsad "
10;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Megmani Organics Ltd. Ahmedabad "
11;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Bharat Rasayan Ltd. Delhi (80%) "
12;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Excel Phosphate Pvt. Ltd. Delhi 94.5% min u/s 9 (4). "
13;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Agro Allied Venture Pvt.Ltd. 94.5% min u/s 9 (4). "
14;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Bhanshidhar Chemicals 94.0% min u/s 9 (4). "
15;"24-D Sodium Salt Technical 94.5% min. 80% min Dichlorophenoxy acitic acid ";2;0.0;0.0;"Herbicide";"45";"Y";"Bhaskar Agrochemicals Ltd. Hyderabad 97.0% min u/s 9 (4)"
16;"Abamectin Technical 95% w/w min ";3;0.0;0.0;"";"";"N";"Hebei Veyong Bio Chemicals Co Ltd. East Heping Road Shijiazhuan City Hebei Province China"
17;"Abamectin 1.9% w/wEC ";4;0.0;0.0;"";"";"N";"Syngenta Crop Protection AG Switzerland (by M/s Syngenta India Ltd. Pune) "
18;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"Chevron Chemical International Inc. USA. "
19;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"Zing Hung Fine Chemical South Korea "
20;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"Sundet (S) Pte. Ltd Singapore "
21;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"Tianjin Rotam Chemical Industries Co. Ltd Tianjin China. "
22;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"Zhenjiang Hangzhou Metals Minerals Machinery and Chemical I-E Crop Hangzhion China "
23;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"M/s Hubei Sanonda Co. Ltd. 93 East Beijing Road Jiangzhou Hubei China ? 434001"
24;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"N";"M/s Nantong Weilike Chemical Co. Ltd. Yangkou Chemistry Industrial Park Rudonk Country "
25;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Shaw Wallace Chennai "
26;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Cheminova India Ltd. Mumbai "
27;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"United Phosphorus Ltd. Mumbai "
28;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Hindustan Insecticides Ltd. New Delhi "
29;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Heranba Industries Ltd Mumbai "
30;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Punjab Chemicals and Crop Protection Ltd "
31;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Insecticides India Ltd "
32;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Hemani Industries Ltd "
33;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Shivalik Rasyan Limited New Delhi "
34;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"India Pesticides Limited Bareilly "
35;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Sabero Organics Gujarat Ltd. "
36;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Hyderabad Chemical Products Ltd. "
37;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"GHARDA Chemicals Ltd. "
38;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Megmani Organics Ltd. Ahmedabad "
39;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Sudarshan Chemical Industries Ltd. Pune "
40;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Bayer Crop Science "
41;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"HPM Chemicals and Fertilizers Ltd. "
42;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Best Crop Science LLP Gajraula UP "
43;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Jai Shree Rasayan Udyog Ltd. 97.0% min 9(4) "
44;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Oriyo Organics Pvt. Ltd. Yamunanagar 97.0% min 9(4) "
45;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Agrisol (I) Pvt. Ltd .97.0% min 9(4) "
46;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"Spectrum Ethers Ltd. 97.0% min 9(4) "
47;"Acephate Technical 97% min 99% min. ";5;0.0;0.0;"Insecticide";"272";"Y";"M/s UPL limited Mumbai 99.0% min 9(3) in 403rd RC. "
48;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"N";"Nippon Soda Co. Ltd. Japan "
49;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"N";"Zhejiang Hisun Chemical Co. Ltd. No. 97 Waisa road Jiaojiang Taizhou Zhejiang China Supplier ? Willowood Ltd. Hong Kong "
50;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"N";"M/s. Zhengzhou Labor Agrochemicals Co. Ltd. Factory address 57 south City road Zhengzhou Henan China"
51;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"N";"M/s HebeiYetian Agrochemical co. ltd. Industrial Zone South of Yuanshi country Shijianzhuang China."
52;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Rallis India Limited Bangalore "
53;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Gharda Chemicals Mumbai "
54;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Punjab Chemicals and Crop Protection Ltd. "
55;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Crystal Phosphates Ltd. "
56;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Tagros Chemicals India Limited Chennai "
57;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Atul Limited Vapi "
58;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Hyderabad Chemicals Products Limited Hyderabad "
59;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"GSP Crop Science Private Limited Ahmedabad "
60;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Astec Chemicals Private Ltd. Mumbai "
61;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Rotam India Limited Mumbai "
62;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Salvi Chemical Industries Mumbai "
63;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Parijat Agencies Delhi "
64;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"D Orgochem Limited Mumbai "
65;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Pharmaceutical Ltd Chandigarh "
66;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Insecticide India Ltd Delhi "
67;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Spectrum Ethers Limited Rasegon MS "
68;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Bharat Rasayan Limited New Delhi. "
69;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Sabero Organics Gujarat Limited "
70;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"India Pesticide Ltd "
71;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Heranba Industries Ltd. Mumbai "
72;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Megmani Organics Ltd. Ahmedabad "
73;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Sudarshan Chemical Industries Ltd. Pune "
74;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"Bhagiradha Chemicals and Industries Ltd."
75;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"HPM Chemicals and Fertilizers Ltd. "
76;"Acetamiprid Technical 99% w/w min. ";6;0.0;0.0;"Insecticide";"598";"Y";"M/s Crimsun Organics Pvt. Ltd. 99% w/w min. 9(4) in 404th RC. "
77;"Afidopyropen 50 g/l DC ";7;0.0;0.0;"";"";"N";"M/s BASF Agri Production S.A.S Zone Industrielle Lyon Nord Rue jacquard 69727 Genay France"
78;"Alachlor Technical 90% min.";8;0.0;0.0;"Herbicide";"134";"N";"Monsanto Agricultural Products Co. USA. Supplier -. Sinochem International (Overseas) Pte. Ltd. 9 Raffles Place No. 50-01 Republic Plaza Singapore "
79;"Alachlor Technical 90% min.";8;0.0;0.0;"Herbicide";"134";"Y";"Siris India Ltd. Hyderabad. "
80;"Allethrin Technical 90% min. Allethrin Tech. containing d-Allethrin 90% w/w min. ";9;0.0;0.0;"";"3";"N";"Sumitomo Chemical Co. 15 5-Chome Aitahama Higashi- ku Osaka Japan "
81;"Allethrin Technical 90% min. Allethrin Tech. containing d-Allethrin 90% w/w min. ";9;0.0;0.0;"";"3";"N";"Hoechst Schering Agr. Evo SA Paris France "
82;"Allethrin Technical 90% min. Allethrin Tech. containing d-Allethrin 90% w/w min. ";9;0.0;0.0;"";"3";"Y";"Sumitomo Chemical India Ltd. Mumbai. "
83;"Allethrin Technical 90% min. Allethrin Tech. containing d-Allethrin 90% w/w min. ";9;0.0;0.0;"";"3";"Y";"Shogun Organics Ltd. Mumbai "
84;"Allethrin Technical 90% min. Allethrin Tech. containing d-Allethrin 90% w/w min. ";9;0.0;0.0;"";"3";"Y";"Manakshia Ltd Mumbai "
85;"Alphacypermethrin Technical 95% min.Long Lasting Nets Impregnated with Alphacypermethrin 0.667% w/w for import* ";10;0.0;0.0;"Insecticide";"416";"N";"Cynamid Quimica do Brasil Ltd. Resendez Brazil "
